NEED_DOCTOR	I need to see a doctor	
NEED_HOSPITAL	I need to go to the hospital	Debê birom nexoşxane / ده‌بێ بڕۆم نه‌خۆشخانه‌
NEED_AMBULANCE	I need an ambulance	Pêwîstîm be otombêlî firyakewtin heye. / پێویستیم به‌ ئۆتۆمبێڵی فڕیاکه‌وتن هه‌یه‌.
WHERE_GET_MEDICINE	Where can I fill this prescription?	
WHEN_RETURN	When do I have to come back?	Debê key bêmewe / ? ده‌بێ که‌ی بێمه‌وه‌؟
HOSPITALIZATION_Q	Do I have to be admitted to the hospital?	Debê birom nexoşxane / ? ده‌بێ بڕۆم نه‌خۆشخانه‌؟
SUFFER_ICD10_J45	I have asthma	Min tenge nefesî heye. / من ته‌نگه‌ نه‌فه‌سی هه‌یه‌.
SUFFER_ICD10_J41	I have chronic bronchitis	Bronşîtim heye. / برۆنشیتم هه‌یه‌.
SUFFER_ICD10_I50	I have heart failure	Nexoşî dilim heye. / نه‌خۆشی دڵم هه‌یه‌.
SUFFER_ICD10_I21	I had a myocardial infarction	Celdey dilim heye. / جه‌ڵده‌ی دڵم هه‌یه‌.
SUFFER_ICD10_G40	I have epilepsy	سەرعم هەیە
SUFFER_ICD10_C00	I have cancer	شێرپەنجەم هەیە
SUFFER_ICD10_A16	I have tuberculosis	نەخۆشی سیلم هەیە
SUFFER_ICD10_E10	I have diabetes	نەخۆشی شەکرەم هەیە
SUFFER_HIV	I have HIV	هەلگری نەمانی بەرگری لەش
SUFFER_ICD10_C90	I have leukaemia	شێرپەنجەی خوێنم هەیە
SUFFER_ICD10_D57	I have sickle cell disease	شیبوونەوەی خوێنم هەیە
SUFFER_ICD10_D56	I have thalassaemia	نەخۆشی تالاسیمام هەیە
SUFFER_ICD10_F32	I have chronic depression	خەمۆکیم هەیە
SUFFER_ICD10_F20	I have schizophrenia	نەخۆشی خەمۆکیم هەیە
SUFFER_ICD10_F31	I have bipolar disorder	
HERE_MY_MEDICATION	This is my medication	ئەوە دەرمانەکەمە
DAILY_MEDICATION	I take this medication every day	ئەم دەرمانە رۆژانە دەخۆم
PERMANENT_MEDICATION	I have been taking this medication for years	چەند سالێکە ئەم دەرمانە دەخۆم
NEED_MORE_MEDICATION	I need more of this medication	پێویستیم بە دەرمانی زیاترە
SUFFER_INJURY	I was injured	توشی پێکان بووم
SUFFER_BEATING	Somebody hit me	یەکێک لێیدام
SUFFER_KNIFING	I was stabbed/ cut with a knife	بەچەقۆ بریندار کراوم
SUFFER_CAR_ACCIDENT	I was hit by a car	سەیارە لێیداوم
SUFFER_STING	I was stung by an insect	مێروو پێیوەداوم
SUFFER_BITE	I was bitten	شتێک پێیوەداوم
SUFFER_FALL_FROM_HEIGHT	I fell from a height	لە شوێنێکی بەرزەوە بەربوومەوە
SUFFER_FALL 	I fell down	کەوتم
HERE_PAIN	It hurts here	ئێرەم ئازاری دێت
PAIN_MOVES_A_B	The pain started here and goes to here	ئازارەکە لێرەوە دەستپێدەکات و دێت بۆ ئێرە
PERMANENT_PAIN	The pain is there all the time	بەردەوام ئازارم هەیە
NON_PERMANENT_PAIN	The pain comes and goes	Eshaka detu arwat.
PAIN_WHEN_TOUCHED	It hurts when I touch it	زۆر دێشیێ کە دەستی لێدەدەم
PAIN_WHEN_STANDING	It gets worse when I stand up	ئازارەکە زیاد ئەکات کە رادەوەستم
PAIN_WHEN_LYING	It gets worse when I lie down	
SHARP_PAIN	It is a sharp pain	
DULL_PAIN	It is a dull pain	
SUDDEN_PAIN	The pain started suddenly	
GRADUAL_PAIN	The pain started gradually	
KNOWN_PAIN	I have had this pain before	
UNKNOWN_PAIN	I have never had this pain before	
SUFFER_BLEEDING	I am bleeding	
SUFFER_ICD10_R31	There is blood in my urine	Xwen la misi min haia.
SUFFER_ICD10_K92	There is blood in my faeces	Xwen la gui min haia.
SUFFER_ICD10_K92	There is blood in my vomit	
SUFFER_ICD10_R04.2	I am coughing up blood	Min xwen akokam.
SUFFER_ICD10_K62	I am bleeding from my anus	
SUFFER_ICD10_R04.0	I have a nosebleed	Luti min xweni ledet.
SUFFER_ICD10_N93	I am bleeding between my periods	
SUFFER_ICD10_N95	My periods finished, but I am bleeding again	
FMA_7154	head	sar
FMA_54448	eye	tshaw
FMA_52780	ear	gwe
FMA_49184	mouth	dam
FMA_24728	face	damutshaw
FMA_7155	neck	
FMA_25202	shoulder	
FMA_24901	elbow	
FMA_24964	hip	
FMA_24974	knee	ajno
FMA_9665	ankle	
FMA_9664	foot	qatsh
FMA_24890	arm	
FMA_24979	leg	
FMA_9712	hand	dast
FMA_9666	finger	penje
FMA_25046	toe	
FMA_9576	chest	sing
FMA_9577	belly	sik
FMA_7088	heart	dil
FMA_7195	lung	
FMA_7148	stomach	sik
FMA_7202	gallbladder	
FMA_7203	kidney	
FMA_7199	bowel	
FMA_15711	anus	
FMA_17558	uterus	
FMA_7209	ovary	
FMA_19949	vagina	
FMA_7210	testes	
FMA_9707	penis	
SUFFER_SICKNESS	I feel ill	Min naxoshim.
SUFFER_ICD10_R50	I have a fever	
FREEZING	I feel cold	Min sarmama.
SUFFER_SHIVERING	I have been shaking	
SUFFER_COLD_SWEAT	I had a cold sweat	
SUFFERED_ICD10_R55	I fainted	
SUFFER_ICD10_H81	I feel dizzy	
SUFFER_ICD10_G40	I had a seizure	
SUFFER_ICD10_R55	I was unconscious	
SUFFER_ICD10_R06	I have difficulty breathing	
SUFFER_ICD10_R06.2	I have wheezing	
SUFFER_ICD10_R05	I have a cough	Min akokam.
SUFFER_ICD10_R09.3	I am coughing up sputum	
SUFFER_ICD10_I47	My heart beats fast	Dili min xera le adat.
SUFFER_ICD10_I49	My heart beats irregular	
SUFFER_CHEST_PAIN	I have chest pain	Singi min esh akat.
SUFFER_STOMACH_PAIN	I have stomach ache	Siki min esh akat.
SUFFER_ICD10_R11	I feel sick	
SUFFERED_VOMITING	I have been sick	
SUFFER_ICD10_A09	I have diarrhoea	
SUFFER_ICD10_K59	I have constipation	
VOMITING_OF_ALL_INGESTED	I vomit up all food and drinks	
SUFFER_ICD10_N39.3	I urinate every hour	
SUFFER_ICD10_R30.9	I have pain when urinating	
SMELLY_URINE	My urine smells bad	Misi min boni naxoshi ledet.
SUFFER_ICD10_R30.0	I can´t urinate	Natwanim mis bikam.
SUFFER_ICD10_R10	I have colic pain in my side	
MAYBE_PREGNANT	I might be pregnant	Lawanaia siki min pira.
BLEEDING_DURING_PREGNANCY	I am pregnant and I am bleeding	خەریکە منالم دەبێ
UTERINE_CONTRACTION	I am in labour	
SEX_TWO_DAYS_AGO	I last had sex 2 days ago	دوو رۆژ لەمەوبەر سێکسم کرد
LONG_TIME_NO_SEX	I have not had sex for a long time	نەمێژە سێکسم نەکردووە
DISEASESDB_28137	I have a discharge from my vagina	
SUFFER_ICD10_N34	I have a discharge from my urethra	
SUFFERED_RAPE	I have been raped	ئابروویان بردوم
SUFFER_ICD10_R20.1	My ... feels numb	
SUFFER_ICD10_R20.2	My .. is tingling	
WEAK_X	My .. is weak	
PARALYSED_X	My .. is paralysed	شەلەلم
INABILITY_TO_SPEAK	I cannot speak	Natwanim qsa bikam.
SUFFER_ICD10_H54	I cannot see	Natwanim shtek bibinim.
SUFFER_ICD10_R51	I have a headache	Seri min esh akat.
SUFFER_ICD10_M54.2	I cannot flex my neck	ناتوانم ملم بسورینم 
SUFFER_FEAR	I feel frightened	Min atirsim.
SUFFER_DEPRESSION	I feel depressed	هەست بە غەمباری دەکەم
SUFFER_SADNESS	I feel sad	Min dilim tanga.
SUFFER_ICD10_R45.8	I think about suicide	Min biri awa akam xom bikujim.
SUFFER_ICD10_R44.0	I hear voices when i am alone	لەگەل خۆم قسە دەکەم کاتێک بە تەنهام
FEEL_OBSERVED	I feel like I'm being watched	هەستدەکەم چاودێری دەکرێم
Läuse, Filzläuse, Magenwürmer, Karies, blaue Flecken, Verstauchung, Kater, diverse Drogen, Tinnitus, trockener Mund, Rheuma, Seitenstechen, Prellung, Beule, Quetschugn, Verbrennung		
Steifheit, Unterkühlung, Hitzschlag, Sonnenbrand, Sonnenstich, Gehirnerschütterung, Ertrinken und Verwandtes, Erstickung und Verwandtes, Schnittwunden, Brüche		
